doc,grade,kincaid_grade,reading_ease,sentences,words
2002-12-01,College,13.6,34.68,77,1598
2003-07-01,College,13.5,35.64,69,1447
2003-12-01,College,14.0,33.69,73,1606
2005-07-01,College Graduate,14.4,29.94,25,531
2005-12-01,College,13.1,35.24,20,385
2006-03-01,College,13.1,33.9,20,368
2006-09-01,College Graduate,15.6,28.01,26,654
2007-03-01,College,13.9,31.89,35,711
2007-09-01,College Graduate,14.7,26.0,32,647
2008-03-01,College,13.1,36.59,24,473
2008-09-01,College,15.1,32.98,25,650
2009-03-01,College,13.4,36.97,28,599
2009-09-01,College Graduate,15.3,28.21,21,504
2010-03-01,College,13.0,39.67,25,529
2010-09-01,College,14.6,37.42,28,734
2011-03-01,College,15.4,31.43,23,604
2011-09-01,College,14.7,36.26,27,706
2012-03-01,College,15.0,33.77,22,568
2014-03-01,College Graduate,16.3,23.52,30,764
2014-09-01,College Graduate,15.4,25.97,29,674
2017-03-01,College Graduate,16.0,22.07,23,538
